http,https,socks4,socks5
1.0.170.50:80,1.0.170.50:80,1.9.167.36:60489,5.161.86.206:1080
1.0.205.87:8080,1.0.205.87:8080,1.20.95.95:5678,5.189.63.14:20996
1.1.189.58:8080,1.1.189.58:8080,1.20.137.82:32241,20.239.2.157:80
1.1.220.100:8080,1.1.220.100:8080,1.20.184.75:4153,24.249.199.4:4145
1.2.252.65:8080,1.2.252.65:8080,1.20.235.153:5678,24.249.199.12:4145
1.32.59.217:47045,1.32.59.217:47045,1.32.59.217:47045,37.18.73.94:5566
1.179.144.41:8080,1.179.144.41:8080,1.179.148.9:36476,43.129.207.123:3001
1.179.148.9:36476,1.179.148.9:36476,1.179.151.165:31948,43.156.107.62:80
2.179.193.146:80,2.179.193.146:80,1.221.173.148:4145,45.148.121.228:443
2.184.4.68:6565,2.184.4.68:6565,3.141.13.98:5678,47.56.69.11:8000
3.20.236.208:49205,3.20.236.208:49205,4.14.120.230:39593,47.74.226.8:5001
3.215.177.148:49205,3.215.177.148:49205,5.8.240.94:4153,47.93.239.66:1080
5.16.0.174:8080,5.16.0.174:8080,5.58.33.187:55507,47.240.226.173:1080
5.44.62.166:8080,5.44.62.166:8080,5.58.66.55:14888,47.245.56.108:18181
5.58.33.187:55507,5.58.33.187:55507,5.178.204.235:2082,47.252.4.64:8888
5.58.58.209:8080,5.58.58.209:8080,5.178.217.227:31019,47.254.195.78:443
8.242.207.202:8080,8.242.207.202:8080,8.42.68.109:39593,49.12.156.165:80
14.102.13.193:8080,14.102.13.193:8080,8.42.68.125:39593,51.83.190.248:19050
14.160.32.23:8080,14.160.32.23:8080,8.42.68.197:39593,51.222.12.245:10084
14.161.31.192:53281,14.161.31.192:53281,12.187.55.1:39593,51.222.13.193:10084
14.177.236.212:55443,14.177.236.212:55443,13.58.88.184:5678,54.36.108.221:40305
14.241.111.38:8080,14.241.111.38:8080,13.58.223.158:5678,58.215.199.34:7302
14.241.225.167:80,14.241.225.167:80,14.63.1.108:4145,60.198.53.23:80
14.248.80.77:8080,14.248.80.77:8080,14.102.64.209:60616,61.79.139.30:80
18.216.72.10:5678,18.216.72.10:5678,14.160.23.139:4145,65.38.21.118:80
18.222.17.49:49205,18.222.17.49:49205,14.232.160.247:10801,66.42.224.229:41679
24.172.82.94:53281,24.172.82.94:53281,18.216.32.60:5678,66.135.227.178:4145
27.72.149.205:8080,27.72.149.205:8080,18.216.72.10:5678,67.201.33.10:25283
27.72.244.228:8080,27.72.244.228:8080,20.239.2.157:80,67.210.146.50:11080
27.131.179.197:10443,27.131.179.197:10443,24.74.26.164:39593,68.71.249.153:48606
27.131.179.204:10443,27.131.179.204:10443,24.234.142.118:31008,69.61.200.104:36181
27.147.209.215:8080,27.147.209.215:8080,24.249.199.4:4145,70.166.167.38:57728
31.43.52.176:41890,31.43.52.176:41890,24.249.199.12:4145,70.166.167.55:57745
31.128.71.241:8081,31.128.71.241:8081,27.123.1.1:4153,72.49.49.11:31034
34.229.130.62:49205,34.229.130.62:49205,27.123.1.36:4153,72.195.34.35:27360
34.230.89.25:49205,34.230.89.25:49205,31.209.96.173:51688,72.195.34.41:4145
36.37.81.135:8080,36.37.81.135:8080,31.210.225.135:4153,72.195.34.42:4145
36.37.160.242:8080,36.37.160.242:8080,36.37.94.199:5678,72.195.34.58:4145
36.66.171.243:8080,36.66.171.243:8080,36.37.251.171:5678,72.195.34.59:4145
36.67.168.117:80,36.67.168.117:80,36.67.88.77:4153,72.195.34.60:27391
36.67.237.146:3128,36.67.237.146:3128,36.89.85.249:5678,72.195.114.169:4145
